nohup: ignoring input
[Epoch-35] loss G: 2.030934280403127, loss D: 0.09901278575540666
[Epoch-36] loss G: 2.0742467353093166, loss D: 0.08228457654738296
[Epoch-37] loss G: 2.0293273359179973, loss D: 0.10220748822552929
[Epoch-38] loss G: 1.9213986907079914, loss D: 0.13029364622278652
[Epoch-39] loss G: 1.9755081124454934, loss D: 0.11328759049096414
[Epoch-40] loss G: 2.077886589230615, loss D: 0.07524540298959406
[Epoch-41] loss G: 2.0321312113782857, loss D: 0.09054838800449395
[Epoch-42] loss G: 2.0206745813792937, loss D: 0.09254637301872211
[Epoch-43] loss G: 2.0451836713144527, loss D: 0.09068601285925906
[Epoch-44] loss G: 1.9974099897354167, loss D: 0.10919840524215549
[Epoch-45] loss G: 2.05230860984754, loss D: 0.08983397607458446
[Epoch-46] loss G: 1.6818186085567017, loss D: 0.21585902062116982
[Epoch-47] loss G: 1.928940712401616, loss D: 0.12605084398799835
[Epoch-48] loss G: 1.934211921493477, loss D: 0.12202787973732625
[Epoch-49] loss G: 1.4863605917373128, loss D: 0.2657606755384553
[Epoch-50] loss G: 1.7268364638566336, loss D: 0.1862059007926761
[Epoch-51] loss G: 1.787999149391083, loss D: 0.16809485004962138
[Epoch-52] loss G: 1.7828527972320425, loss D: 0.16280739153992663
[Epoch-53] loss G: 1.7848996254004112, loss D: 0.16730604534745513
[Epoch-54] loss G: 1.8921952173371765, loss D: 0.1288108012941883
[Epoch-55] loss G: 1.7497338520861498, loss D: 0.1806238005930166
[Epoch-56] loss G: 1.8533958861775468, loss D: 0.14201309375304322
[Epoch-57] loss G: 1.8416627379454247, loss D: 0.14436983289972155
[Epoch-58] loss G: 2.0789530705913566, loss D: 0.07213446938456936
[Epoch-59] loss G: 1.7275926723778645, loss D: 0.18176274279345783
[Epoch-60] loss G: 1.5618405067174634, loss D: 0.23120025661997198
[Epoch-61] loss G: 1.9119151735194673, loss D: 0.11739505387383195
[Epoch-62] loss G: 1.820487204555189, loss D: 0.15130961340713808
[Epoch-63] loss G: 1.8956081879043707, loss D: 0.1333373847479849
[Epoch-64] loss G: 2.1067714650288085, loss D: 0.05964155254030498
[Epoch-65] loss G: 2.0905022650044387, loss D: 0.061462772383941176
